,University,Games,Attendance,Average,Year
724,Stony Brook,4,17343,4336,2006
725,Drake,7,30199,4314,2006
726,San Diego,6,25849,4308,2006
727,Gardner-Webb,6,25162,4194,2006
728,Dayton,5,20680,4136,2006
729,Tenn-Martin,5,20590,4118,2006
730,Howard,5,20284,4057,2006
731,Austin Peay,5,19764,3953,2006
732,Savannah St,5,19448,3890,2006
733,Fordham,6,22337,3723,2006
734,Murray St,5,18588,3718,2006
735,Delaware St,5,17514,3503,2006
736,Colgate,6,20957,3493,2006
737,Davidson,5,17328,3466,2006
738,Charleston So,6,19815,3303,2006
739,Northeastern,4,13022,3256,2006
740,Wagner,5,16111,3222,2006
741,Rhode Island,6,19026,3171,2006
742,Central Conn St,4,12598,3150,2006
743,Albany (NY),5,15577,3115,2006
744,Indiana St,4,12236,3059,2006
745,Monmouth,7,20836,2977,2006
746,Jacksonville,4,9983,2496,2006
747,Robert Morris,5,12022,2404,2006
748,Sacred Heart,6,13026,2171,2006
749,Marist,6,12754,2126,2006
750,Georgetown,5,10080,2016,2006
751,Butler,7,13753,1965,2006
752,Valparaiso,5,9711,1942,2006
753,Duquesne,5,9216,1843,2006
754,La Salle,5,8995,1799,2006
755,Iona,5,7740,1548,2006
756,St Francis (Pa),6,6167,1028,2006
757,Fort Valley St,3,41047,13682,2006
758,Tuskegee,5,55979,11195,2006
759,North Ala,6,60548,10091,2006
760,Grand Valley St,8,72651,9081,2006
761,Abilene Christian,5,45005,9001,2006
762,North Dakota,6,52963,8827,2006
763,Albany St (Ga),4,34683,8670,2006
764,Pittsburg St,6,50375,8395,2006
765,Morehouse,5,41361,8272,2006
766,South Dakota,6,48326,8054,2006
767,Miles,5,39855,7971,2006
768,NC Central,6,47186,7864,2006
769,Clark Atlanta,6,42993,7165,2006
770,Central Mo,6,41942,6990,2006
771,Northwest Mo St,8,52578,6572,2006
772,Northeastern St,5,31039,6207,2006
773,Washburn,5,30889,6177,2006
774,Midwestern St,7,42377,6053,2006
775,Delta St,6,36301,6050,2006
776,West Ala,6,34701,5783,2006
777,Lane,5,28274,5654,2006
778,Elizabeth City St,5,27840,5568,2006
779,Tarleton St,4,22163,5540,2006
780,Benedict,5,27655,5531,2006
781,Arkansas Tech,5,27336,5467,2006
782,Emporia St,5,27299,5459,2006
783,Valdosta St,5,26199,5239,2006
784,Neb-Omaha,6,31256,5209,2006
785,Lenoir-Rhyne,5,25803,5160,2006
786,Johnson C Smith,4,20026,5006,2006
787,St Paul's,5,22912,4582,2006
788,Angelo St,6,26149,4358,2006
789,Virginia Union,5,21611,4322,2006
790,Henderson St,5,21537,4307,2006
791,Mo Southern St,6,25803,4300,2006
792,Southern Ark,5,21485,4297,2006
793,Millersville,6,25149,4191,2006
794,Presbyterian,5,20556,4111,2006
795,Stillman,5,20514,4102,2006
796,Eastern NM,5,20193,4038,2006
797,East Stroudsburg,6,24196,4032,2006
798,Bloomsburg,6,23815,3969,2006
799,St Cloud St,6,23613,3935,2006
800,Mo Western St,5,19594,3918,2006
801,Ferris St,5,19572,3914,2006
802,Shepherd,7,27327,3903,2006
803,Shaw,3,11596,3865,2006
804,Shippensburg,6,22863,3810,2006
805,California (Pa),6,22800,3800,2006
806,Indiana (Pa),5,18959,3791,2006
807,Slippery Rock,5,18900,3780,2006
808,Chadron St,5,18600,3720,2006
809,Catawba,5,18069,3613,2006
810,Augustana (SD),5,17909,3581,2006
811,Ashland,5,17810,3562,2006
812,Southeastern Okla,5,17563,3512,2006
813,Bryant,7,24384,3483,2006
814,Fayetteville St,5,17332,3466,2006
815,Kutztown,5,17325,3465,2006
816,Livingstone,5,17278,3455,2006
817,East Central,5,17200,3440,2006
818,Kentucky St,5,17198,3439,2006
819,Harding,5,17104,3420,2006
820,Carson-Newman,5,16935,3387,2006
821,Minn Duluth,5,16804,3360,2006
822,Bowie St,5,16565,3313,2006
823,Central Okla,7,23064,3294,2006
824,Newberry,9,29295,3255,2006
825,Clarion,5,16252,3250,2006
826,West Chester,5,16200,3240,2006
827,Humboldt St,5,15875,3175,2006
828,West Ga,5,15847,3169,2006
829,Minn St Mankato,6,18891,3148,2006
830,Central Wash,4,12567,3141,2006
831,Ouachita Baptist,4,12150,3037,2006
832,Northern St,5,15087,3017,2006
833,North Greenville,7,21043,3006,2006
834,Saginaw Valley,5,15001,3000,2006
835,Indianapolis,6,17979,2996,2006
836,Mars Hill,5,14960,2992,2006
837,Neb-Kearney,5,14189,2837,2006
838,Truman,5,14014,2802,2006
839,Northern Mich,5,13905,2781,2006
840,Charleston (WV),5,13848,2769,2006
841,Southwestern Okla,5,13800,2760,2006
842,Ark-Monticello,4,10827,2706,2006
843,Winona St,5,13464,2692,2006
844,Edinboro,6,16060,2676,2006
845,St Augustine's,5,13337,2667,2006
846,Wingate,6,15516,2586,2006
847,Western Ore,4,10300,2575,2006
848,Tusculum,5,12816,2563,2006
849,Fort Hays St,6,15088,2514,2006
850,Southwest Baptist,5,12435,2487,2006
851,Virginia St,4,9844,2461,2006
852,Bentley,6,14320,2386,2006
853,Mo-Rolla,5,11900,2380,2006
854,Michigan Tech,5,11793,2358,2006
855,Glenville St,4,9309,2327,2006
856,West Liberty St,6,13925,2320,2006
857,Mansfield,5,11592,2318,2006
858,Wayne St (Mich),6,13758,2293,2006
859,Cheyney,5,10784,2156,2006
860,Lock Haven,5,10547,2109,2006
861,Merrimack,5,10320,2064,2006
862,Northwood (Mich),6,11920,1986,2006
863,CW Post,5,9295,1859,2006
864,Assumption,4,7163,1790,2006
865,Western Wash,6,10540,1756,2006
866,Southwest Minn St,6,10519,1753,2006
867,Adams St,5,8685,1737,2006
868,Minn St Moorhead,5,8636,1727,2006
869,Colorado Mines,6,10355,1725,2006
870,Hillsdale,5,8380,1676,2006
871,St Joseph's (Ind),3,5017,1672,2006
872,Mercyhurst,5,8301,1660,2006
873,Concordia-St Paul,4,6605,1651,2006
874,Southern Conn St,5,7542,1508,2006
875,Western NM,6,9033,1505,2006
876,Wayne St (Neb),6,9007,1501,2006
877,Stonehill,5,7472,1494,2006
878,Mesa St,5,7162,1432,2006
879,Pace,5,7018,1403,2006
880,Bemidji St,5,6944,1388,2006
881,NM Highlands,6,7781,1296,2006
882,Concord,5,5850,1170,2006
883,Fort Lewis,4,4406,1101,2006
884,Findlay,5,5494,1098,2006
885,West Virginia St,6,6439,1073,2006
886,American Int'l,4,4180,1045,2006
887,Lincoln (Mo),5,5000,1000,2006
888,West Va Wesleyan,5,5000,1000,2006
889,St John's (Minn),6,51284,8547,2006
890,Wabash,5,27237,5447,2006
891,Wis-Whitewater,9,40087,4454,2006
892,Wartburg,5,21716,4343,2006
893,Trinity (Conn),4,17101,4275,2006
894,Williams,4,16881,4220,2006
895,Luther,4,16655,4163,2006
896,Mississippi Col,5,20542,4108,2006
897,Baldwin-Wallace,5,20390,4078,2006
898,Mount Union,8,30183,3772,2006
899,Concordia-M'head,4,14991,3747,2006
900,Bethel (Minn),5,18420,3684,2006
901,Chris Newport,6,21917,3652,2006
902,Amherst,4,14000,3500,2006
903,Cortland St,6,20722,3453,2006
904,Loras,5,17196,3439,2006
905,St Olaf,5,17124,3424,2006
906,Wooster,5,17095,3419,2006
907,Hampden-Sydney,5,17090,3418,2006
908,Hardin-Simmons,6,20016,3336,2006
909,Gust Adolphus,4,12682,3170,2006
910,Wilmington (Ohio),4,11947,2986,2006
911,Louisiana Col,4,11789,2947,2006
912,Linfield,5,14405,2881,2006
913,Sul Ross St,5,14401,2880,2006
914,Gettysburg,5,14273,2854,2006
915,St Thomas (Minn),6,17050,2841,2006
916,Wheaton (Ill),6,16756,2792,2006
917,Maryville (Tenn),5,13944,2788,2006
918,Anderson (Ind),4,11000,2750,2006
919,Wis-La Crosse,4,10973,2743,2006
920,Tufts,4,10965,2741,2006
921,Alfred,6,16434,2739,2006
922,TCNJ,4,10871,2717,2006
923,Wis-Eau Claire,5,13500,2700,2006
924,Franklin,6,15950,2658,2006
925,Grove City,6,15920,2653,2006
926,Rowan,6,15829,2638,2006
927,Elmhurst,5,13125,2625,2006
928,Wittenberg,4,10411,2602,2006
929,Mary Hardin-Baylor,7,18104,2586,2006
930,Merchant Marine,6,15125,2520,2006
931,Howard Payne,4,9925,2481,2006
932,McDaniel,6,14712,2452,2006
933,Wis-Stevens Point,3,7316,2438,2006
934,Adrian,5,12000,2400,2006
935,Chapman,4,9500,2375,2006
936,Otterbein,5,11849,2369,2006
937,East Tex Baptist,4,9455,2363,2006
938,Defiance,5,11813,2362,2006
939,Wesley,10,23513,2351,2006
940,Whitworth,7,16460,2351,2006
941,Wis-Stout,6,14051,2341,2006
942,Albright,6,13994,2332,2006
943,Susquehanna,5,11600,2320,2006
944,Muhlenberg,5,11552,2310,2006
945,Wesleyan (Conn),4,9225,2306,2006
946,Capital,7,16099,2299,2006
947,Thomas More,5,11486,2297,2006
948,Coe,5,11359,2271,2006
949,FDU-Florham,6,13613,2268,2006
950,Widener,6,13500,2250,2006
951,Texas Lutheran,6,13474,2245,2006
952,LaGrange,5,11100,2220,2006
953,Hope,5,11051,2210,2006
954,Norwich,5,11000,2200,2006
955,Rochester (NY),5,10795,2159,2006
956,Huntingdon,4,8609,2152,2006
957,Rose-Hulman,5,10750,2150,2006
958,Coast Guard,6,12675,2112,2006
959,Delaware Valley,5,10500,2100,2006
960,Knox,5,10500,2100,2006
961,Lycoming,4,8349,2087,2006
962,Bridgewater (Va),5,10365,2073,2006
963,Puget Sound,5,10310,2062,2006
964,Wilkes,6,12277,2046,2006
965,Muskingum,5,10174,2034,2006
966,Mt St Joseph,5,10168,2033,2006
967,St John Fisher,7,14189,2027,2006
968,Rensselaer,4,8055,2013,2006
969,Ferrum,4,7984,1996,2006
970,Shenandoah,5,9981,1996,2006
971,Sewanee,5,9791,1958,2006
972,Pacific Lutheran,5,9600,1920,2006
973,Monmouth (Ill),5,9580,1916,2006
974,Wis-Oshkosh,4,7521,1880,2006
975,Ohio Northern,5,9327,1865,2006
976,Juniata,5,9300,1860,2006
977,Ohio Wesleyan,5,9297,1859,2006
978,Millsaps,7,12942,1848,2006
979,King's (Pa),5,9150,1830,2006
980,Willamette,4,7310,1827,2006
981,Moravian,5,9066,1813,2006
982,Western New Eng,5,9023,1804,2006
983,Wis-Platteville,5,8926,1785,2006
984,Alma,5,8889,1777,2006
985,John Carroll,5,8843,1768,2006
986,Montclair St,4,7072,1768,2006
987,Central (Iowa),6,10600,1766,2006
988,McMurry,4,7000,1750,2006
989,Denison,5,8650,1730,2006
990,Hamilton,4,6887,1721,2006
991,Thiel,5,8563,1712,2006
992,Middlebury,4,6805,1701,2006
993,Averett,5,8475,1695,2006
994,Wm Paterson,5,8400,1680,2006
995,Salisbury,5,8379,1675,2006
996,Waynesburg,6,9950,1658,2006
997,Lebanon Valley,5,8266,1653,2006
998,Colby,4,6533,1633,2006
999,North Central (Ill),5,8150,1630,2006
1000,Dubuque,5,8092,1618,2006
1001,Carroll (Wis),5,7921,1584,2006
1002,Hanover,5,7921,1584,2006
1003,Union (NY),5,7916,1583,2006
1004,Trinity (Tex),6,9300,1550,2006
1005,Dickinson,5,7700,1540,2006
1006,Rhodes,6,9202,1533,2006
1007,Albion,5,7640,1528,2006
1008,Catholic,5,7601,1520,2006
1009,Mass-Dartmouth,4,6050,1512,2006
1010,Kean,5,7557,1511,2006
1011,Cal Lutheran,5,7550,1510,2006
1012,Lawrence,5,7545,1509,2006
1013,DePauw,4,6000,1500,2006
1014,Redlands,5,7486,1497,2006
1015,Olivet,5,7318,1463,2006
1016,Curry,5,7303,1460,2006
1017,Ill Wesleyan,5,7280,1456,2006
1018,Guilford,4,5800,1450,2006
1019,Simpson,5,7200,1440,2006
1020,St Norbert,5,7187,1437,2006
1021,Allegheny,4,5644,1411,2006
1022,Kenyon,4,5550,1387,2006
1023,Carnegie Mellon,6,8315,1385,2006
1024,Springfield,8,10948,1368,2006
1025,Buena Vista,5,6700,1340,2006
1026,Westminster (Pa),5,6702,1340,2006
1027,Bethany (WV),4,5340,1335,2006
1028,Frostburg St,6,7900,1316,2006
1029,Ursinus,5,6577,1315,2006
1030,Case Reserve,6,7852,1308,2006
1031,Plymouth St,4,5178,1294,2006
1032,Marietta,5,6277,1255,2006
1033,Westfield St,4,4998,1249,2006
1034,Beloit,5,6241,1248,2006
1035,Augustana (Ill),5,6196,1239,2006
1036,Ithaca,5,6152,1230,2006
1037,NC Wesleyan,5,6130,1226,2006
1038,Benedictine (Ill),5,6083,1216,2006
1039,Illinois Col,5,6072,1214,2006
1040,Chicago,4,4785,1196,2006
1041,Claremont-M-S,5,5977,1195,2006
1042,St Lawrence,6,7056,1176,2006
1043,Bates,4,4684,1171,2006
1044,Fitchburg St,4,4684,1171,2006
1045,Manchester,5,5850,1170,2006
1046,Hartwick,5,5848,1169,2006
1047,Hamline,6,6884,1147,2006
1048,Western Conn St,5,5614,1122,2006
1049,Neb Wesleyan,5,5550,1110,2006
1050,Carthage,5,5425,1085,2006
1051,Randolph-Macon,5,5429,1085,2006
1052,Utica,5,5423,1084,2006
1053,Wis-River Falls,4,4311,1077,2006
1054,Mass Maritime,4,4276,1069,2006
1055,Colorado Col,6,6249,1041,2006
1056,Hobart,4,4106,1026,2006
1057,Bowdoin,4,4099,1024,2006
1058,WPI,6,6139,1023,2006
1059,Occidental,5,5050,1010,2006
1060,Greensboro,5,5042,1008,2006
1061,Michigan,8,882115,110264,2007
1062,Penn St,7,762419,108917,2007
1063,Ohio St,7,735773,105110,2007
1064,Tennessee,7,727426,103918,2007
1065,Georgia,7,649222,92746,2007
1066,LSU,7,648334,92619,2007
1067,Alabama,7,644966,92138,2007
1068,Florida,7,632715,90388,2007
1069,Southern California,6,524855,87476,2007
1070,Texas,6,510865,85144,2007
1071,Oklahoma,7,594005,84858,2007
1072,Auburn,8,677510,84689,2007
1073,Nebraska,7,591506,84501,2007
1074,Wisconsin,7,572227,81747,2007
1075,Clemson,7,569342,81335,2007
1076,Notre Dame,7,565745,80821,2007
1077,Florida St,5,402987,80597,2007
1078,South Carolina,7,549269,78467,2007
1079,UCLA,6,458271,76379,2007
1080,Iowa,6,423510,70585,2007
1081,Michigan St,7,493779,70540,2007
1082,Kentucky,8,550588,68824,2007
1083,Washington,7,474124,67732,2007
1084,Virginia Tech,7,463631,66233,2007
1085,Arkansas,8,528260,66033,2007
1086,BYU,6,386980,64497,2007
1087,California,6,378816,63136,2007
1088,Arizona St,8,503003,62875,2007
1089,West Virginia,6,362399,60400,2007
1090,Missouri,6,361393,60232,2007
1091,Virginia,6,358944,59824,2007
1092,Purdue,7,415279,59326,2007
1093,Oregon,7,411915,58845,2007
1094,North Carolina,6,344500,57417,2007
1095,North Carolina St,7,394493,56356,2007
1096,Illinois,6,329229,54872,2007
1097,South Fla,6,319019,53170,2007
1098,Arizona,6,312963,52161,2007
1099,Texas Tech,6,311467,51911,2007
1100,Minnesota,7,362538,51791,2007
1101,Maryland,6,307580,51263,2007
1102,Colorado,6,303051,50509,2007
1103,Georgia Tech,7,351959,50280,2007
1104,Mississippi,7,347930,49704,2007
1105,Iowa St,7,346233,49462,2007
1106,Mississippi St,6,295775,49296,2007
1107,Kansas St,6,284296,47383,2007
1108,Kansas,7,327491,46784,2007
1109,UCF,7,308129,44018,2007
1110,Rutgers,8,349306,43663,2007
1111,Miami (Fla),7,305124,43589,2007
1112,Hawaii,7,304600,43514,2007
1113,Utah,6,255557,42593,2007
1114,Boston College,7,293927,41990,2007
1115,East Caro,6,249219,41537,2007
1116,Oregon St,6,248244,41374,2007
1117,Oklahoma St,6,240144,40024,2007
1118,Louisville,6,239287,39881,2007
1119,Stanford,8,314657,39332,2007
1120,Connecticut,7,267435,38205,2007
1121,Air Force,6,228405,38068,2007
1122,Indiana,7,259025,37004,2007
1123,UTEP,6,219411,36569,2007
1124,Fresno St,6,217743,36291,2007
1125,Syracuse,7,245064,35009,2007
1126,Vanderbilt,8,277034,34629,2007
1127,Navy,6,207702,34617,2007
1128,Baylor,6,206266,34378,2007
1129,Pittsburgh,7,233203,33315,2007
1130,Washington St,6,198268,33045,2007
1131,Wake Forest,6,195570,32595,2007
1132,Army,5,158559,31712,2007
1133,Boise St,7,212366,30338,2007
1134,Cincinnati,6,181477,30246,2007
1135,Marshall,6,180120,30020,2007
1136,TCU,6,180109,30018,2007
1137,New Mexico,7,208259,29751,2007
1138,Memphis,7,207688,29670,2007
1139,UNLV,6,175684,29281,2007
1140,Temple,6,173151,28859,2007
1141,San Diego St,6,167637,27940,2007
1142,Southern Miss,6,160324,26721,2007
1143,Tulane,7,182784,26112,2007
1144,Northern Ill,6,150819,25137,2007
1145,Northwestern,7,172125,24589,2007
1146,Tulsa,6,147233,24539,2007
1147,Wyoming,6,133138,22190,2007
1148,Colorado St,6,130762,21794,2007
1149,Houston,6,125730,20955,2007
1150,Troy,5,102397,20479,2007
1151,Duke,5,100321,20064,2007
1152,Western Mich,6,116963,19494,2007
1153,Central Mich,5,93853,18771,2007
1154,Toledo,7,130675,18668,2007
1155,Louisiana Tech,5,92812,18562,2007
1156,Middle Tenn,5,92650,18530,2007
1157,North Texas,5,88672,17734,2007
1158,SMU,6,103024,17171,2007
1159,Nevada,6,102524,17087,2007
1160,Arkansas St,6,102237,17040,2007
1161,UAB,5,83529,16706,2007
1162,La-Lafayette,6,99904,16651,2007
1163,La-Monroe,5,83253,16651,2007
1164,Ohio,6,99002,16500,2007
1165,Akron,5,81775,16355,2007
1166,Miami (Ohio),5,80931,16186,2007
1167,Bowling Green,5,80398,16080,2007
1168,Fla Atlantic,5,78705,15741,2007
1169,San Jose St,5,77323,15465,2007
1170,New Mexico St,7,100884,14412,2007
1171,Buffalo,5,67842,13568,2007
1172,Rice,6,80118,13353,2007
1173,Utah St,5,65656,13131,2007
1174,Ball St,5,65424,13085,2007
1175,Idaho,6,68874,11479,2007
1176,Kent St,5,44994,8999,2007
1177,Florida Int'l,5,39909,7982,2007
1178,Eastern Mich,5,37241,7448,2007
1179,Appalachian St,9,217968,24218,2007
1180,Montana,8,182396,22799,2007
1181,Yale,5,113964,22792,2007
1182,Delaware,7,150573,21510,2007
1183,Ga Southern,6,113551,18925,2007
1184,Southern U,5,94566,18913,2007
1185,Norfolk St,6,103320,17220,2007
1186,Tennessee St,4,65112,16278,2007
1187,Youngstown St,7,113045,16149,2007
1188,UNI,7,112824,16117,2007
1189,Jackson St,6,96598,16099,2007
1190,James Madison,6,87069,14511,2007
1191,Montana St,6,85472,14245,2007
1192,Liberty,6,85140,14190,2007
1193,Citadel,6,82541,13756,2007
1194,South Carolina St,4,52822,13205,2007
1195,Illinois St,5,65049,13009,2007
1196,McNeese St,7,89732,12818,2007
1197,Furman,5,63427,12685,2007
1198,Western Ill,6,75540,12590,2007
1199,Ark-Pine Bluff,3,37627,12542,2007
1200,Grambling,3,37343,12447,2007
1201,Harvard,5,62025,12405,2007
1202,Alabama St,5,61913,12382,2007
1203,Massachusetts,6,70259,11709,2007
1204,Texas St,6,68449,11408,2007
1205,Penn,5,55448,11089,2007
1206,Missouri St,6,62841,10473,2007
1207,Princeton,5,51076,10215,2007
1208,Portland St,5,50408,10081,2007
1209,Southern Ill,8,79603,9950,2007
1210,Lehigh,6,59123,9853,2007
1211,Jacksonville St,5,48833,9766,2007
1212,Cal Poly,5,48222,9644,2007
1213,Sam Houston St,5,48137,9627,2007
1214,Villanova,5,45997,9199,2007
1215,UC Davis,5,45824,9164,2007
1216,Cornell,5,44486,8897,2007
1217,Eastern Ky,5,42800,8560,2007
1218,Stephen F Austin,5,42400,8480,2007
1219,Wofford,7,58412,8344,2007
1220,Tennessee Tech,6,49912,8318,2007
1221,Northwestern St,5,39883,7976,2007
1222,Sacramento St,5,39496,7899,2007
1223,Prairie View,3,23251,7750,2007
1224,Elon,6,46406,7734,2007
1225,Coastal Caro,6,45096,7516,2007
1226,Eastern Ill,5,37058,7411,2007
1227,Morgan St,7,51761,7394,2007
1228,New Hampshire,6,43450,7241,2007
1229,Holy Cross,6,43033,7172,2007
1230,Northern Ariz,5,35839,7167,2007
1231,Towson,5,35693,7138,2007
1232,Lafayette,6,41852,6975,2007
1233,VMI,6,41201,6866,2007
1234,Hampton,5,34302,6860,2007
1235,Idaho St,6,40922,6820,2007
1236,Bethune-Cookman,5,33869,6773,2007
1237,Western Caro,5,33799,6759,2007
1238,Mississippi Val,5,32474,6494,2007
1239,Richmond,6,37726,6287,2007
1240,Chattanooga,6,37584,6264,2007
1241,Southeast Mo St,6,37290,6215,2007
1242,Alcorn St,5,30430,6086,2007
1243,Austin Peay,5,29846,5969,2007
1244,Morehead St,6,34733,5788,2007
1245,Samford,6,34584,5764,2007
1246,Dartmouth,5,27492,5498,2007
1247,Maine,5,27443,5488,2007
1248,Nicholls St,5,26913,5382,2007
1249,Eastern Wash,6,32137,5356,2007
1250,Brown,6,30832,5138,2007
1251,Hofstra,6,29733,4955,2007
1252,Southeastern La,5,24754,4950,2007
1253,Dayton,7,33157,4736,2007
1254,Stony Brook,5,23007,4601,2007
1255,Fordham,6,27058,4509,2007
1256,Gardner-Webb,5,22050,4410,2007
1257,Drake,6,25760,4293,2007
1258,Colgate,6,25744,4290,2007
1259,Columbia,5,20860,4172,2007
1260,Southern Utah,5,20706,4141,2007
1261,Delaware St,5,20600,4120,2007
1262,Weber St,5,20460,4092,2007
1263,Northern Colo,5,20441,4088,2007
1264,Murray St,5,20175,4035,2007
1265,Bucknell,6,23999,3999,2007
1266,Tenn-Martin,5,19658,3931,2007
1267,Texas Southern,3,11293,3764,2007
1268,Savannah St,5,18552,3710,2007
1269,Albany (NY),4,14548,3637,2007
1270,Howard,6,21063,3510,2007
1271,Davidson,5,17500,3500,2007
1272,Rhode Island,5,17181,3436,2007
1273,San Diego,5,16530,3306,2007
1274,Charleston So,5,16181,3236,2007
1275,Monmouth,4,12826,3206,2007
1276,Indiana St,6,18693,3115,2007
1277,Northeastern,5,14100,2820,2007
1278,Marist,4,11139,2784,2007
1279,Central Conn St,6,16410,2735,2007
1280,Georgetown,5,12850,2570,2007
